run,total,new,disapp,trg_start,last_sb_stop,last_go_ready
554777,7766,358,427,"26/07/2024, 11:57:50","26/07/2024, 11:49:02","26/07/2024, 07:37:17"
554797,7847,330,249,"26/07/2024, 17:18:55","26/07/2024, 17:11:36","26/07/2024, 14:03:37"
554827,7781,314,380,"27/07/2024, 07:41:24","27/07/2024, 07:07:13","27/07/2024, 07:33:09"
554852,7910,488,359,"27/07/2024, 23:15:06","27/07/2024, 23:03:58","27/07/2024, 11:27:43"
554857,8069,440,281,"27/07/2024, 23:49:28","27/07/2024, 23:03:58","27/07/2024, 11:27:43"
554864,8334,517,252,"28/07/2024, 01:10:09","27/07/2024, 23:03:58","28/07/2024, 01:01:40"
554884,8322,546,558,"28/07/2024, 12:16:14","28/07/2024, 12:09:33","28/07/2024, 03:26:17"
554909,8035,334,621,"29/07/2024, 00:09:00","29/07/2024, 00:02:42","28/07/2024, 14:23:14"
554942,7769,300,566,"29/07/2024, 14:51:23","29/07/2024, 14:06:18","29/07/2024, 02:24:34"
554982,7997,581,353,"30/07/2024, 06:23:56","30/07/2024, 06:18:22","29/07/2024, 20:47:28"
555007,7904,352,445,"30/07/2024, 17:48:22","30/07/2024, 17:40:24","30/07/2024, 09:58:57"
555026,7913,463,454,"31/07/2024, 11:37:14","31/07/2024, 11:31:46","30/07/2024, 22:28:54"
555050,-,-,-,"31/07/2024, 18:12:11","31/07/2024, 18:05:03","31/07/2024, 17:50:17"
555056,8496,592,178,"31/07/2024, 18:36:52","31/07/2024, 18:05:03","31/07/2024, 18:35:03"
555080,8051,249,694,"01/08/2024, 08:05:16","01/08/2024, 07:46:20","01/08/2024, 03:32:21"
555110,7929,294,416,"01/08/2024, 21:33:44","01/08/2024, 21:29:16","01/08/2024, 19:21:59"
555134,7968,455,416,"02/08/2024, 11:18:36","02/08/2024, 11:10:02","02/08/2024, 01:56:18"
555192,7944,398,422,"03/08/2024, 12:30:29","03/08/2024, 12:16:49","03/08/2024, 09:48:40"
555215,7931,282,295,"03/08/2024, 23:43:11","03/08/2024, 23:34:04","03/08/2024, 14:35:31"
555243,8000,434,365,"04/08/2024, 17:29:02","04/08/2024, 17:21:01","04/08/2024, 08:38:41"
555273,8069,405,336,"05/08/2024, 10:15:21","05/08/2024, 10:02:10","04/08/2024, 19:12:50"
555322,8088,388,369,"06/08/2024, 08:38:46","06/08/2024, 08:27:25","05/08/2024, 21:04:55"
555361,8183,384,289,"07/08/2024, 12:27:19","07/08/2024, 12:16:04","06/08/2024, 23:45:56"
555384,9095,1075,163,"08/08/2024, 04:27:30","08/08/2024, 03:17:20","08/08/2024, 04:23:59"
555415,8093,141,1143,"08/08/2024, 14:25:25","08/08/2024, 14:12:11","08/08/2024, 09:03:55"
555462,8054,337,376,"09/08/2024, 09:35:02","09/08/2024, 09:25:56","08/08/2024, 19:12:15"
555494,0,0,0,"10/08/2024, 03:18:27","10/08/2024, 03:08:28","09/08/2024, 13:24:47"
555517,8070,544,372,"10/08/2024, 17:06:13","10/08/2024, 16:53:58","10/08/2024, 06:20:45"
555524,9303,1420,187,"10/08/2024, 19:20:25","10/08/2024, 16:53:58","10/08/2024, 19:16:43"
555558,7991,201,1513,"11/08/2024, 10:24:20","11/08/2024, 10:15:32","10/08/2024, 22:05:37"
555578,8098,415,308,"11/08/2024, 14:58:06","11/08/2024, 14:48:44","11/08/2024, 14:31:48"
555602,8163,421,356,"12/08/2024, 03:58:13","12/08/2024, 03:45:47","11/08/2024, 23:19:18"
555631,8530,666,299,"12/08/2024, 16:24:42","12/08/2024, 13:15:13","12/08/2024, 16:12:55"
555633,8469,321,382,"12/08/2024, 16:32:56","12/08/2024, 13:15:13","12/08/2024, 16:12:55"
555682,8139,238,568,"13/08/2024, 20:26:10","13/08/2024, 20:15:47","13/08/2024, 16:17:30"
555711,8046,286,379,"14/08/2024, 11:16:36","14/08/2024, 11:07:49","13/08/2024, 22:22:53"
555730,8271,505,280,"14/08/2024, 16:22:19","14/08/2024, 15:43:30","14/08/2024, 16:05:29"
555746,8145,310,436,"14/08/2024, 22:37:34","14/08/2024, 22:23:33","14/08/2024, 20:42:00"
555776,8071,306,380,"15/08/2024, 14:13:27","15/08/2024, 14:03:22","15/08/2024, 01:34:25"
555806,8264,471,278,"16/08/2024, 05:24:06","16/08/2024, 05:14:45","16/08/2024, 02:28:49"
555819,8625,608,247,"16/08/2024, 09:21:35","16/08/2024, 05:14:45","16/08/2024, 09:17:54"
555870,-,-,-,"17/08/2024, 10:44:05","17/08/2024, 10:34:50","16/08/2024, 23:25:30"
555889,8210,359,343,"17/08/2024, 16:50:04","17/08/2024, 16:41:05","17/08/2024, 13:13:07"
555905,8105,298,403,"17/08/2024, 21:34:59","17/08/2024, 21:26:18","17/08/2024, 19:13:26"
555924,0,0,0,"18/08/2024, 03:39:23","18/08/2024, 03:22:09","18/08/2024, 03:36:48"
555946,8193,224,704,"18/08/2024, 15:57:55","18/08/2024, 15:47:04","18/08/2024, 07:41:28"
555979,8217,363,339,"19/08/2024, 06:21:31","19/08/2024, 06:15:48","18/08/2024, 23:30:38"
556014,9287,1234,164,"20/08/2024, 17:00:36","19/08/2024, 06:15:48","20/08/2024, 16:55:48"
556076,8614,206,879,"22/08/2024, 12:02:43","19/08/2024, 06:15:48","22/08/2024, 11:45:30"
556078,8716,421,319,"22/08/2024, 12:12:05","19/08/2024, 06:15:48","22/08/2024, 11:45:30"
556079,9067,632,281,"22/08/2024, 12:32:46","19/08/2024, 06:15:48","22/08/2024, 12:29:49"
556169,8366,250,951,"24/08/2024, 10:15:42","24/08/2024, 10:09:21","23/08/2024, 21:00:33"
556192,8322,286,330,"24/08/2024, 19:36:25","24/08/2024, 19:25:50","24/08/2024, 11:57:39"
556196,8356,305,271,"24/08/2024, 20:43:38","24/08/2024, 19:25:50","24/08/2024, 11:57:39"
556226,8570,547,333,"25/08/2024, 13:09:28","25/08/2024, 13:01:57","24/08/2024, 23:27:09"
556253,8247,307,630,"26/08/2024, 06:13:38","26/08/2024, 06:07:11","25/08/2024, 16:28:04"
556291,8301,395,341,"27/08/2024, 02:41:04","27/08/2024, 02:32:54","26/08/2024, 21:22:18"
556377,8257,373,417,"29/08/2024, 04:51:50","29/08/2024, 04:40:10","28/08/2024, 22:28:05"
556393,8401,430,286,"29/08/2024, 08:29:08","29/08/2024, 08:19:39","29/08/2024, 08:08:38"
556426,8211,356,546,"30/08/2024, 02:46:27","30/08/2024, 02:35:58","29/08/2024, 13:16:22"
556442,8329,444,326,"30/08/2024, 06:53:58","30/08/2024, 06:45:04","30/08/2024, 04:42:41"
