run,total,new,disapp,trg_start,last_sb_stop,last_go_ready
556472,8221,332,440,"30/08/2024, 23:01:52","30/08/2024, 22:25:50","30/08/2024, 09:44:58"
556501,8248,337,310,"31/08/2024, 15:38:06","31/08/2024, 15:33:44","31/08/2024, 02:20:06"
556532,8205,390,433,"01/09/2024, 09:12:45","01/09/2024, 09:06:01","31/08/2024, 19:41:08"
556548,8334,439,310,"01/09/2024, 14:50:36","01/09/2024, 14:44:07","01/09/2024, 11:22:11"
556573,8182,279,431,"02/09/2024, 05:31:56","02/09/2024, 05:23:15","01/09/2024, 20:14:46"
556595,8869,894,207,"02/09/2024, 12:53:31","02/09/2024, 05:23:15","02/09/2024, 12:40:48"
556646,8280,333,439,"03/09/2024, 15:17:41","03/09/2024, 15:09:48","03/09/2024, 11:59:08"
556689,8352,404,332,"04/09/2024, 18:44:18","04/09/2024, 18:37:42","03/09/2024, 20:27:19"
556723,8338,317,331,"05/09/2024, 01:49:14","05/09/2024, 01:42:08","04/09/2024, 22:14:34"
556748,8229,327,436,"05/09/2024, 18:21:00","05/09/2024, 18:13:42","05/09/2024, 06:13:14"
556782,8330,415,314,"06/09/2024, 13:03:52","06/09/2024, 12:56:52","06/09/2024, 01:26:25"
556824,8390,377,317,"06/09/2024, 22:17:00","06/09/2024, 22:04:53","06/09/2024, 16:22:00"
556850,8400,343,333,"07/09/2024, 14:39:57","07/09/2024, 14:32:27","07/09/2024, 00:10:48"
556878,8429,333,304,"07/09/2024, 21:34:39","07/09/2024, 21:22:41","07/09/2024, 18:40:14"
556895,8351,288,366,"08/09/2024, 02:57:37","08/09/2024, 02:46:47","07/09/2024, 23:24:55"
556928,8278,340,413,"08/09/2024, 20:17:18","08/09/2024, 20:10:36","08/09/2024, 09:43:08"
556945,8441,420,257,"09/09/2024, 04:03:25","09/09/2024, 03:33:17","08/09/2024, 22:26:03"
556987,8404,300,337,"10/09/2024, 02:14:36","10/09/2024, 02:03:49","09/09/2024, 21:50:50"
557028,0,0,0,"11/09/2024, 02:14:26","11/09/2024, 02:09:10","10/09/2024, 14:07:48"
557078,8427,327,322,"11/09/2024, 18:34:21","11/09/2024, 18:28:05","11/09/2024, 14:25:24"
557122,8572,444,299,"12/09/2024, 15:18:06","12/09/2024, 15:05:41","12/09/2024, 15:12:47"
557160,9756,1374,190,"13/09/2024, 09:45:01","13/09/2024, 06:58:01","13/09/2024, 09:42:19"
557243,8455,490,256,"14/09/2024, 08:03:00","14/09/2024, 07:21:51","14/09/2024, 00:05:50"
557279,0,0,0,"14/09/2024, 20:36:21","14/09/2024, 20:29:46","14/09/2024, 09:45:01"
557308,8499,418,293,"15/09/2024, 14:12:11","15/09/2024, 14:06:42","15/09/2024, 07:15:29"
557325,8490,310,319,"15/09/2024, 16:50:23","15/09/2024, 16:42:59","15/09/2024, 16:00:51"
557354,8429,307,368,"16/09/2024, 09:15:40","16/09/2024, 09:07:46","15/09/2024, 18:39:41"
557378,8613,644,460,"16/09/2024, 12:37:00","16/09/2024, 12:27:52","16/09/2024, 11:34:29"
557433,8448,480,645,"17/09/2024, 11:21:22","17/09/2024, 11:11:52","16/09/2024, 20:06:11"
557446,0,0,0,"17/09/2024, 13:47:16","17/09/2024, 13:37:13","17/09/2024, 13:27:46"
557537,8497,297,434,"18/09/2024, 19:50:50","18/09/2024, 19:34:31","18/09/2024, 09:50:06"
557559,8796,668,369,"19/09/2024, 07:54:54","19/09/2024, 07:47:44","18/09/2024, 22:14:54"
557631,0,0,0,"20/09/2024, 13:40:12","20/09/2024, 13:29:34","20/09/2024, 13:38:09"
557671,8540,196,683,"21/09/2024, 01:12:38","21/09/2024, 00:29:45","20/09/2024, 17:47:04"
557697,8491,313,362,"21/09/2024, 17:40:23","21/09/2024, 17:30:49","21/09/2024, 05:22:34"
557731,8843,681,309,"22/09/2024, 17:02:24","22/09/2024, 16:56:42","22/09/2024, 08:41:38"
557753,8520,295,618,"23/09/2024, 06:12:07","23/09/2024, 05:54:04","22/09/2024, 22:48:53"
557768,9714,1564,370,"23/09/2024, 12:14:06","23/09/2024, 05:54:04","23/09/2024, 12:10:16"
557799,8643,398,1469,"24/09/2024, 11:45:27","23/09/2024, 05:54:04","23/09/2024, 12:10:16"
557865,8537,306,412,"25/09/2024, 23:14:06","25/09/2024, 23:08:26","25/09/2024, 21:41:14"
557881,8532,313,318,"26/09/2024, 08:33:26","26/09/2024, 08:27:30","26/09/2024, 07:04:09"
557900,8510,358,380,"26/09/2024, 13:27:42","26/09/2024, 13:21:52","26/09/2024, 12:22:23"
557915,8694,557,373,"26/09/2024, 16:28:14","26/09/2024, 16:21:21","26/09/2024, 15:44:17"
557933,8366,374,702,"26/09/2024, 23:08:15","26/09/2024, 23:02:02","26/09/2024, 18:23:48"
557935,8730,642,278,"26/09/2024, 23:16:41","26/09/2024, 23:02:02","26/09/2024, 18:23:48"
558096,0,0,0,"01/10/2024, 10:43:32","26/09/2024, 23:02:02","01/10/2024, 08:57:46"
558131,8698,274,382,"02/10/2024, 10:12:35","02/10/2024, 10:03:01","02/10/2024, 07:25:18"
558195,10138,1668,228,"04/10/2024, 07:36:47","04/10/2024, 05:49:02","04/10/2024, 07:34:51"
558233,8588,215,1765,"05/10/2024, 04:06:25","05/10/2024, 03:59:10","04/10/2024, 14:48:03"
558261,0,0,0,"06/10/2024, 00:18:04","06/10/2024, 00:12:13","05/10/2024, 10:02:10"
558296,8622,447,286,"06/10/2024, 15:21:38","06/10/2024, 15:16:44","06/10/2024, 12:40:20"
558343,8588,294,328,"07/10/2024, 10:48:09","07/10/2024, 10:43:23","06/10/2024, 22:59:37"
558359,8871,590,307,"07/10/2024, 16:21:37","07/10/2024, 16:16:10","07/10/2024, 13:20:28"
558374,8598,330,603,"07/10/2024, 20:43:41","07/10/2024, 20:38:33","07/10/2024, 18:19:36"
558397,8802,317,313,"08/10/2024, 06:41:43","08/10/2024, 06:36:31","07/10/2024, 23:14:22"
558413,8596,313,319,"08/10/2024, 11:46:07","08/10/2024, 11:39:37","08/10/2024, 11:05:15"
558440,8530,311,377,"08/10/2024, 23:48:38","08/10/2024, 23:41:49","08/10/2024, 13:58:55"
558470,8486,340,384,"09/10/2024, 15:44:15","09/10/2024, 15:39:20","09/10/2024, 01:52:35"
558495,8536,387,337,"10/10/2024, 05:56:56","10/10/2024, 05:51:24","09/10/2024, 19:59:06"
558507,8900,658,294,"10/10/2024, 09:55:17","10/10/2024, 09:50:13","10/10/2024, 08:17:36"
